sr,latitude,longitude,valid_time,t2m,temp,tp
187,18.4,73.5,06-07-24,298.4656,25.3156,0.00089002
188,18.4,73.5,07-07-24,298.47327,25.32327,0.000745515
189,18.4,73.5,08-07-24,297.53415,24.38415,0.000850442
190,18.4,73.5,09-07-24,297.16232,24.01232,0.002559696
191,18.4,73.5,10-07-24,297.90482,24.75482,0.000383885
192,18.4,73.5,11-07-24,297.6954,24.5454,0.00085768
193,18.4,73.5,12-07-24,297.17557,24.02557,0.001144656
194,18.4,73.5,13-07-24,296.89645,23.74645,0.00206324
195,18.4,73.5,14-07-24,297.16653,24.01653,0.0019798
196,18.4,73.5,15-07-24,297.88934,24.73934,0.000973176
197,18.4,73.5,16-07-24,297.6353,24.4853,0.001279737
198,18.4,73.5,17-07-24,297.6926,24.5426,0.001665637
199,18.4,73.5,18-07-24,297.42468,24.27468,0.003244936
200,18.4,73.5,19-07-24,297.36435,24.21435,0.002031725
201,18.4,73.5,20-07-24,297.1444,23.9944,0.002973642
202,18.4,73.5,21-07-24,297.23196,24.08196,0.002257621
203,18.4,73.5,22-07-24,296.9807,23.8307,0.002529288
204,18.4,73.5,23-07-24,297.0098,23.8598,0.002977935
205,18.4,73.5,24-07-24,296.8942,23.7442,0.003846548
206,18.4,73.5,25-07-24,296.47897,23.32897,0.00428068
207,18.4,73.5,26-07-24,297.38443,24.23443,0.00114032
208,18.4,73.5,27-07-24,297.47287,24.32287,0.001149002
209,18.4,73.5,28-07-24,297.39148,24.24148,0.00126496
210,18.4,73.5,29-07-24,297.4114,24.2614,0.001279716
211,18.4,73.5,30-07-24,297.7145,24.5645,0.001136925
212,18.4,73.5,31-07-24,297.7054,24.5554,0.000737862
213,18.4,73.5,01-08-24,296.81717,23.66717,0.000611477
214,18.4,73.5,02-08-24,,-273.15,
215,18.4,73.5,03-08-24,,-273.15,
216,18.4,73.5,04-08-24,,-273.15,
217,18.4,73.5,05-08-24,,-273.15,
218,18.4,73.5,06-08-24,,-273.15,
219,18.4,73.5,07-08-24,,-273.15,
220,18.4,73.5,08-08-24,,-273.15,
221,18.4,73.5,09-08-24,,-273.15,
222,18.4,73.5,10-08-24,,-273.15,
223,18.4,73.5,11-08-24,,-273.15,
224,18.4,73.5,12-08-24,,-273.15,
225,18.4,73.5,13-08-24,,-273.15,
226,18.4,73.5,14-08-24,,-273.15,
227,18.4,73.5,15-08-24,,-273.15,
228,18.4,73.5,16-08-24,,-273.15,
229,18.4,73.5,17-08-24,,-273.15,
230,18.4,73.5,18-08-24,,-273.15,
231,18.4,73.5,19-08-24,,-273.15,
232,18.4,73.5,20-08-24,,-273.15,
233,18.4,73.5,21-08-24,,-273.15,
234,18.4,73.5,22-08-24,,-273.15,
235,18.4,73.5,23-08-24,,-273.15,
236,18.4,73.5,24-08-24,,-273.15,
237,18.4,73.5,25-08-24,,-273.15,
238,18.4,73.5,26-08-24,,-273.15,
239,18.4,73.5,27-08-24,,-273.15,
240,18.4,73.5,28-08-24,,-273.15,
241,18.4,73.5,29-08-24,,-273.15,
242,18.4,73.5,30-08-24,,-273.15,
243,18.4,73.5,31-08-24,,-273.15,
244,18.4,73.5,01-09-24,298.09335,24.94335,0.000328877
245,18.4,73.5,02-09-24,297.12994,23.97994,0.001681924
246,18.4,73.5,03-09-24,297.38065,24.23065,0.000556898
247,18.4,73.5,04-09-24,297.71964,24.56964,0.000655374
248,18.4,73.5,05-09-24,297.32397,24.17397,0.000748146
249,18.4,73.5,06-09-24,297.65723,24.50723,0.000380532
250,18.4,73.5,07-09-24,297.81482,24.66482,0.000237263
251,18.4,73.5,08-09-24,297.98715,24.83715,0.000224753
252,18.4,73.5,09-09-24,297.741,24.591,0.000604585
253,18.4,73.5,10-09-24,297.61276,24.46276,0.000404445
254,18.4,73.5,11-09-24,297.18948,24.03948,0.000297022
255,18.4,73.5,12-09-24,297.4119,24.2619,0.000244315
256,18.4,73.5,13-09-24,297.29678,24.14678,0.000280344
257,18.4,73.5,14-09-24,297.24274,24.09274,0.000173219
258,18.4,73.5,15-09-24,296.63232,23.48232,0.000149437
259,18.4,73.5,16-09-24,297.24664,24.09664,0.000108405
260,18.4,73.5,17-09-24,297.98358,24.83358,6.26E-05
261,18.4,73.5,18-09-24,297.73877,24.58877,5.52E-05
262,18.4,73.5,19-09-24,298.67056,25.52056,2.68E-05
263,18.4,73.5,20-09-24,298.76355,25.61355,0.000123847
264,18.4,73.5,21-09-24,298.16556,25.01556,5.63E-05
265,18.4,73.5,22-09-24,298.69608,25.54608,0.000163273
266,18.4,73.5,23-09-24,298.77194,25.62194,0.000476901
267,18.4,73.5,24-09-24,298.1385,24.9885,0.000839265
268,18.4,73.5,25-09-24,297.6716,24.5216,0.002993285
