latitude,longitude,valid_time,t2m,number
18.4,73.75,2024-01-12,296.19547,0
18.4,73.75,2024-01-13,296.66458,0
18.4,73.75,2024-01-14,296.11337,0
18.4,73.75,2024-01-15,294.53265,0
18.4,73.75,2024-01-16,293.64517,0
18.4,73.75,2024-01-17,293.79785,0
18.4,73.75,2024-01-18,292.8508,0
18.4,73.75,2024-01-19,293.22983,0
18.4,73.75,2024-01-20,294.19632,0
18.4,73.75,2024-01-21,294.1143,0
18.4,73.75,2024-01-22,293.9808,0
18.4,73.75,2024-01-23,292.86838,0
18.4,73.75,2024-01-24,292.3663,0
18.4,73.75,2024-01-25,292.58847,0
18.4,73.75,2024-01-26,293.73788,0
18.4,73.75,2024-01-27,294.74133,0
18.4,73.75,2024-01-28,295.5342,0
18.4,73.75,2024-01-29,295.5085,0
18.4,73.75,2024-01-30,295.22586,0
18.4,73.75,2024-01-31,295.4822,0
18.4,73.75,2024-02-01,289.6158,0
18.4,73.75,2024-02-02,,0
18.4,73.75,2024-02-03,,0
18.4,73.75,2024-02-04,,0
18.4,73.75,2024-02-05,,0
18.4,73.75,2024-02-06,,0
18.4,73.75,2024-02-07,,0
18.4,73.75,2024-02-08,,0
18.4,73.75,2024-02-09,,0
18.4,73.75,2024-02-10,,0
18.4,73.75,2024-02-11,,0
18.4,73.75,2024-02-12,,0
18.4,73.75,2024-02-13,,0
18.4,73.75,2024-02-14,,0
18.4,73.75,2024-02-15,,0
18.4,73.75,2024-02-16,,0
18.4,73.75,2024-02-17,,0
18.4,73.75,2024-02-18,,0
18.4,73.75,2024-02-19,,0
18.4,73.75,2024-02-20,,0
18.4,73.75,2024-02-21,,0
18.4,73.75,2024-02-22,,0
18.4,73.75,2024-02-23,,0
18.4,73.75,2024-02-24,,0
18.4,73.75,2024-02-25,,0
18.4,73.75,2024-02-26,,0
18.4,73.75,2024-02-27,,0
18.4,73.75,2024-02-28,,0
18.4,73.75,2024-02-29,,0
18.4,73.75,2024-03-01,300.42648,0
18.4,73.75,2024-03-02,297.71866,0
18.4,73.75,2024-03-03,296.12448,0
18.4,73.75,2024-03-04,295.49786,0
18.4,73.75,2024-03-05,296.3211,0
18.4,73.75,2024-03-06,297.18573,0
