iter	Passed	Remaining
245	739	2266
246	741	2259
247	743	2253
248	745	2247
249	747	2241
250	749	2235
251	751	2229
252	753	2223
253	755	2217
254	757	2211
255	759	2206
256	761	2200
257	763	2194
258	765	2189
259	767	2184
260	769	2179
261	771	2172
262	773	2168
263	775	2163
264	777	2157
265	779	2151
266	781	2146
267	783	2141
268	785	2135
269	788	2131
270	790	2127
271	792	2122
272	795	2117
273	797	2112
274	799	2107
275	801	2102
276	803	2098
277	805	2092
278	807	2087
279	810	2083
280	812	2078
281	814	2072
282	816	2067
283	818	2062
284	819	2056
285	821	2051
286	823	2046
287	825	2041
288	827	2036
289	829	2030
290	831	2025
291	832	2019
292	834	2014
293	836	2009
294	838	2003
295	840	1998
296	842	1994
297	844	1988
298	846	1983
299	848	1979
300	849	1973
301	851	1969
302	854	1966
303	856	1961
304	858	1955
305	860	1950
306	862	1946
307	863	1941
308	865	1934
309	867	1931
310	869	1926
311	871	1921
312	872	1915
313	874	1910
314	876	1906
315	878	1900
316	879	1895
317	882	1891
318	883	1887
319	885	1882
320	887	1877
321	889	1872
322	891	1867
323	892	1862
324	894	1857
325	896	1853
326	898	1848
327	900	1843
328	901	1839
329	903	1835
330	905	1830
331	907	1825
332	909	1820
333	910	1816
334	912	1811
335	914	1807
336	916	1802
337	917	1797
338	919	1793
339	921	1789
340	923	1784
341	925	1780
342	927	1775
343	928	1771
344	930	1766
345	932	1762
346	934	1758
347	936	1753
348	937	1749
349	939	1744
350	941	1740
351	943	1736
352	945	1732
353	946	1727
354	948	1723
355	950	1719
356	952	1714
357	953	1710
358	955	1706
359	957	1702
360	959	1697
361	960	1693
362	962	1689
363	964	1685
364	966	1681
365	968	1677
366	970	1674
367	972	1670
368	974	1666
369	976	1662
370	978	1658
371	980	1654
372	981	1650
373	983	1646
374	985	1643
375	987	1639
376	989	1635
377	991	1631
378	993	1627
379	994	1623
380	996	1619
381	998	1615
382	1000	1611
383	1002	1607
384	1003	1603
385	1005	1600
386	1007	1596
387	1009	1592
388	1011	1588
389	1013	1584
390	1015	1581
391	1017	1577
392	1018	1573
393	1020	1569
394	1021	1565
395	1023	1561
396	1025	1557
397	1027	1553
398	1028	1549
399	1030	1546
400	1032	1542
401	1034	1538
402	1036	1534
403	1037	1531
404	1039	1527
405	1041	1523
406	1042	1519
407	1044	1516
408	1046	1512
409	1048	1509
410	1050	1505
411	1052	1501
412	1054	1498
413	1055	1494
414	1057	1490
415	1059	1487
416	1061	1484
417	1063	1480
418	1065	1477
419	1067	1474
420	1069	1470
421	1071	1467
422	1073	1463
423	1075	1460
424	1076	1456
425	1079	1453
426	1080	1450
427	1083	1447
428	1085	1444
429	1087	1440
430	1088	1437
431	1090	1434
432	1092	1431
433	1094	1427
434	1097	1424
435	1099	1422
436	1101	1418
437	1103	1415
438	1105	1412
439	1107	1409
440	1109	1406
441	1111	1403
442	1114	1400
443	1116	1397
444	1118	1394
445	1120	1392
